,Title,Organization,Skills,Ratings,course_url,course_students_enrolled,course_description,Review Count,Difficulty,Type,Duration
14,IBM Applied AI,IBM," Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Algorithms, Cloud API, Machine Learning Software, Natural Language Processing, Human Computer Interaction, Computer Programming, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Critical Thinking, Cloud-Based Integration, Software As A Service, Data Science",4.6,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,"31,078","Artificial intelligence (AI) is transforming our world. Whether you’re a student, a developer, or a technology consultant - understanding AI and knowing how to create AI-powered applications can give you an edge in your career. This Professional Certificate is designed to arm you with the skills to work as an AI developer. 
This program will give you a firm understanding of AI technology, its applications, and its use cases. You will become familiar with concepts and tools like machine learning, data science, natural language processing, image classification, image processing, IBM Watson AI services, OpenCV, and APIs. Even if you have no programming background, through this Professional Certificate, you will learn practical Python skills to design, build, and deploy AI applications on the web. The courses will also enable you to apply pre-built AI smarts to your products and solutions.
Rather than create complex AI algorithms and interfaces from scratch, you’ll use IBM Watson AI services and APIs to create smart applications with minimal coding. By the end of this Professional Certificate, you will have completed several projects that showcase proficiency in applying AI and building AI-powered solutions.
In addition to earning a Professional Certificate from Coursera, you'll also receive a digital badge from IBM recognizing your proficiency in applied AI. 
Applied Learning Project
This Professional Certificate contains a number of hands-on learning projects that will help develop your understanding of AI concepts and tools. Projects include building your own AI chatbot; practicing Python for data science; building, training, and testing your own custom image classifiers; and creating your own computer vision web application and deploying it to the Cloud. 
",47K,Beginner,Professional Certificate,3 - 6 Months
15,IBM Full Stack Software Developer,IBM," Cloud Computing, Python Programming, Cloud Applications, Computer Programming, IBM Cloud, Application Development, Cloud Infrastructure, DevOps, Web Development, Cloud Management, Cloud Platforms, Javascript, Software Architecture, Cloud API, Cloud Storage, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Continuous Integration, Docker (Software), Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",4.6,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,"57,396","Prepare for a career in the high-growth field of software development. In this program, you’ll learn in-demand skills and tools used by professionals for front-end, back-end, and cloud native application development to get job-ready in less than 4 months, with no prior experience needed. 
Full stack refers to the end-to-end computer system application, including the front end and back end coding. This Professional Certificate covers development for both of these scenarios. Cloud native development refers to developing a program designed to work on cloud architecture. The flexibility and adaptability that full stack and cloud native developers provide make them highly sought after in this digital world. 
You’ll  learn how to build, deploy, test, run, and manage full stack cloud native applications. Technologies covered includes Cloud foundations, GitHub, Node.js, React, CI/CD, Containers, Docker, Kubernetes, OpenShift, Istio, Databases, NoSQL, Django ORM, Bootstrap, Application Security, Microservices, Serverless computing, and more. 
After completing the program you will have developed several applications using front-end and back-end technologies and deployed them on a cloud platform using Cloud Native methodologies. You will publish these projects through your GitHub repository to share your portfolio with your peers and prospective employers.
This program is ACE® recommended—when you complete, you can earn up to 18 college credits.
Applied Learning Project
Throughout the courses in the Professional Certificate, you will develop a portfolio of hands-on projects involving various popular technologies and programming languages in Full Stack Cloud Application Development. These projects include creating:
HTML pages on Cloud Object Storage
An interest rate calculator using HTML, CSS, and JavaScript
An AI program deployed on Cloud Foundry using DevOps principles and CI/CD toolchains with a NoSQL database
A Node.js back-end application and a React front-end application
A containerized guestbook app packaged with Docker deployed with Kubernetes and managed with OpenShift
A Python app bundled as a package
A database-powered application using Django ORM and Bootstrap
An app built using Microservices & Serverless
A scalable, Cloud Native Full Stack application using the technologies learned in previous courses
You will publish these projects through your GitHub repository to share your skills with your peers and prospective employers.
",42K,Beginner,Professional Certificate,3 - 6 Months
16,Introduction to Data Science,IBM," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Deep Learning, IBM Cloud, Regression, Writing",4.6,https://www.coursera.org/specializations/introduction-data-science,"104,084","Start your journey in one of the fastest growing professions today with this beginner-friendly Data Engineering course! You will be introduced to the core concepts, processes, and tools you need to know in order to get a foundational knowledge of data engineering. as well as the roles that Data Engineers, Data Scientists, and Data Analysts play in the ecosystem. 
You will begin this course by understanding what is data engineering as well as the roles that Data Engineers, Data Scientists, and Data Analysts play in this exciting field. Next you will learn about the data engineering ecosystem, the different types of data structures, file formats, sources of data, and the languages data professionals use in their day-to-day tasks. 

You will become familiar with the components of a data platform and gain an understanding of several different types of data repositories such as Relational (RDBMS) and NoSQL databases, Data Warehouses, Data Marts, Data Lakes and Data Lakehouses. You’ll then learn about Big Data processing tools like Apache Hadoop and Spark. You will also become familiar with ETL, ELT, Data Pipelines and Data Integration. 

This course provides you with an understanding of a typical Data Engineering lifecycle which includes architecting data platforms, designing data stores, and gathering, importing, wrangling, querying, and analyzing data. You will also learn about security, governance, and compliance.  

You will learn about career opportunities in the field of Data Engineering and the different paths that you can take for getting skilled as a Data Engineer. You will hear from several experienced Data Engineers, sharing their insights and advice. 

By the end of this course, you will also have completed several hands-on labs and worked with a relational database, loaded data into the database, and performed some basic querying operations.
",86K,Beginner,Specialization,3 - 6 Months
17,Data Science Fundamentals with Python and SQL,IBM," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Plot (Graphics), R Programming, Data Management, Data Structures, Database Administration, Database Application, Database Theory, Databases, SQL, Cloud Computing, IBM Cloud",4.6,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,"58,550","The Data Mining Specialization teaches data mining techniques for both structured data which conform to a clearly defined schema, and unstructured data which exist in the form of natural language text. Specific course topics include pattern discovery, clustering, text retrieval, text mining and analytics, and data visualization. The Capstone project task is to solve real-world data mining challenges using a restaurant review data set from Yelp.
Courses 2 - 5 of this Specialization form the lecture component of courses in the online Master of Computer Science Degree in Data ScienceOpens in a new tab. You can apply to the degree program either before or after you begin the Specialization.
",60K,Beginner,Specialization,3 - 6 Months
18,IBM Data Engineering,IBM," Data Management, Databases, Database Administration, Extract, Transform, Load, Python Programming, Big Data, SQL, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Leadership and Management, Kubernetes, PostgreSQL, Devops Tools, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",4.6,https://www.coursera.org/professional-certificates/ibm-data-engineer,"7,979","Prepare for a career in the high-growth field of data engineering. In this program, you’ll learn in-demand skills like Python, SQL, and Databases to get job-ready in less than 5 months.
Data engineering is building systems to gather data, process and organize raw data into usable information, and manage data. The work data engineers do provides the foundational information that data scientists and business intelligence (BI) analysts use to make recommendations and decisions.
This program will teach you the foundational data engineering skills employers are seeking for entry level data engineering roles, including Python, one of the most widely used programming languages. You’ll also master SQL, RDBMS, ETL, Data Warehousing, NoSQL, Big Data, and Spark with hands-on labs and projects.
You’ll learn to use Python programming language and Linux/UNIX shell scripts to extract, transform and load (ETL) data. You’ll also work with Relational Databases (RDBMS) and query data using SQL statements and use NoSQL databases as well as unstructured data. 
When you complete the full program, you’ll have a portfolio of projects and a Professional Certificate from IBM to showcase your expertise. You’ll also earn an IBM Digital badge and will gain access to career resources to help you in your job search, including mock interviews and resume support. 
This program is ACE® recommended—when you complete, you can earn up to 12 college credits.
Applied Learning Project
Throughout this Professional Certificate, you will complete hands-on labs and projects to help you gain practical experience with Python, SQL, relational databases, NoSQL databases, Apache Spark, building data pipelines, managing databases, and working with data warehouses.
Projects:
Design a relational database to help a coffee franchise improve operations.
Use SQL to query census, crime, and school demographic data sets.
Write a Bash shell script on Linux that backups changed files.
Set up, test, and optimize a data platform that contains MySQL, PostgreSQL, and IBM Db2 databases.
Analyze road traffic data to perform ETL and create a pipeline using Airflow and Kafka.
Design and implement a data warehouse for a solid-waste management company.
Move, query, and analyze data in MongoDB, Cassandra, and Cloudant NoSQL databases.
Train a machine learning model by creating an Apache Spark application.
Design, deploy, and manage an end-to-end data engineering platform.

",47K,Beginner,Professional Certificate,3 - 6 Months
19,Key Technologies for Business,IBM," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Data Science, Critical Thinking, Big Data, Data Analysis, Data Mining, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Regression, Writing",4.7,https://www.coursera.org/specializations/key-technologies-for-business,"32,301","This Specialization is intended for the learner with no previous programming experience or the career changer transitioning to software development. JavaScript is generally the first programming language you will need to learn and this Specialization will help you practice and build your skills through a gentle progression of modules and courses. 
Applied Learning Project
Learners will be able to follow along with the instructor and be able to apply and practice their learning through a series of low-stakes challenges and projects. Quizzes are the main assessment for this Specialization, along with Honor options in a couple of the courses.
",83K,Beginner,Specialization,1 - 3 Months
20,IBM & Darden Digital Strategy,University of Virginia Darden School Foundation," Business Analysis, Business Transformation, Strategy, Cloud Computing, Data Analysis, Strategy and Operations, Applied Machine Learning, Entrepreneurship, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Visualization, Research and Design, Critical Thinking, Business Design, Business Development, Customer Analysis, Product Strategy, Market Analysis, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",4.7,https://www.coursera.org/specializations/digital-strategy,"4,285","This Specialization was designed to combine the most current business research in digital transformation and strategy with the most up-to-date technical knowledge of the technologies that are changing how we work and do business to enable you to advance your career. By the end of this Specialization, you will have an understanding of the three technologies impacting all businesses: artificial intelligence, cloud computing, and data science. You will also be able to develop or advance a digital transformation strategy for your own business using these technologies. This specialization will help managers understand technology and technical workers to understand strategy, and is ideal for anyone who wants to be able to help lead projects in digital transformation and technical and business strategy.
Applied Learning Project
This Specialization was designed to combine the most current business research in digital transformation and strategy with the most up-to-date technical knowledge of the technologies that are changing how we work and do business to enable you to advance your career. By the end of this Specialization, you will have an understanding of the three technologies impacting all businesses: artificial intelligence, cloud computing, and data science. You will also be able to develop or advance a digital transformation strategy for your own business using these technologies. This specialization will help managers understand technology and technical workers to understand strategy, and is ideal for anyone who wants to be able to help lead projects in digital transformation and technical and business strategy.
",30K,Beginner,Specialization,3 - 6 Months
21,Deep Learning,DeepLearning.AI," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Exploratory Data Analysis, Organizational Development, Process Analysis, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",4.8,https://www.coursera.org/specializations/deep-learning,"383,947","Working knowledge of SQL (or Structured Query Language) is a must for data professionals like Data Scientists, Data Analysts and Data Engineers. Much of the world's data resides in databases. SQL is a powerful language used for communicating with and extracting data from databases.
In this course you will learn SQL inside out- from the very basics of Select statements to
advanced concepts like JOINs. 
You will: 
-write foundational SQL statements like: SELECT, INSERT, UPDATE, and DELETE 
-filter result sets, use WHERE, COUNT, DISTINCT, and LIMIT clauses 
-differentiate between DML & DDL 
-CREATE, ALTER, DROP and load tables 
-use string patterns and ranges; ORDER and GROUP result sets, and built-in database functions
-build sub-queries and query data from multiple tables 
-access databases as a data scientist using Jupyter notebooks with SQL and Python
-work with advanced concepts like Stored Procedures, Views, ACID Transactions, Inner & Outer JOINs through hands-on labs and projects

You will  practice building SQL queries, work with real databases on the Cloud, and use real data science tools. 

In the final project you’ll analyze multiple real-world datasets to demonstrate your skills.
",142K,Intermediate,Specialization,3 - 6 Months
22,Data Engineering Foundations,IBM," Data Management, Python Programming, Data Structures, Databases, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",4.6,https://www.coursera.org/specializations/data-engineering-foundations,"22,831","In this Specialization, you will learn to analyze and visualize data in R and create reproducible data analysis reports, demonstrate a conceptual understanding of the unified nature of statistical inference, perform frequentist and Bayesian statistical inference and modeling to understand natural phenomena and make data-based decisions, communicate statistical results correctly, effectively, and in context without relying on statistical jargon, critique data-based claims and evaluated data-based decisions, and wrangle and visualize data with R packages for data analysis.    

Applied Learning Project
You will produce a portfolio of data analysis projects from the Specialization that demonstrates mastery of statistical data analysis from exploratory analysis to inference to modeling, suitable for applying for statistical analysis or data scientist positions.  
",46K,Beginner,Specialization,3 - 6 Months
23,Applied Data Science,IBM," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",4.6,https://www.coursera.org/specializations/applied-data-science,"8,745","If you’re reading this, you’re likely interested in exploring applied computational fluid dynamics (CFD) using the Simcenter STAR-CCM+ software or another CFD tool. This course can be a first step in improving your job performance and furthering your career or educational trajectory. 
We’ve created this course to help you use the knowledge of flow physics and computational fluid dynamics to obtain quality solutions of flow and heat transfer problems most efficiently. This course is not about instructions on how to use a particular software. Simcenter STAR-CCM+ was used exclusively for all simulations presented in this course. Still, the learning outcomes would be the same if another public or commercial software were used, as long as it has the same capabilities.
",49K,Beginner,Specialization,3 - 6 Months
